frame,phase,x,z,stepDistance
177,ToSeat,4.993945,-9.324373,0.032000
178,ToSeat,5.021485,-9.308078,0.032000
179,ToSeat,5.049026,-9.291782,0.032000
180,ToSeat,5.074291,-9.272248,0.031936
181,ToSeat,5.098970,-9.251878,0.032000
182,ToSeat,5.123649,-9.231507,0.032000
183,ToSeat,5.146894,-9.209659,0.031902
184,ToSeat,5.168019,-9.185622,0.032000
185,ToSeat,5.189144,-9.161586,0.032000
186,ToSeat,5.210224,-9.137516,0.031995
187,ToSeat,5.227364,-9.110494,0.032000
188,ToSeat,5.244503,-9.083471,0.032000
189,ToSeat,5.261642,-9.056449,0.032000
190,ToSeat,5.276600,-9.028255,0.031916
191,ToSeat,5.289655,-8.999039,0.032000
192,ToSeat,5.302711,-8.969823,0.032000
193,ToSeat,5.315766,-8.940607,0.032000
194,ToSeat,5.325342,-8.910100,0.031975
195,ToSeat,5.334499,-8.879438,0.032000
196,ToSeat,5.343657,-8.848777,0.032000
197,ToSeat,5.352752,-8.818100,0.031997
198,ToSeat,5.358376,-8.786598,0.032000
199,ToSeat,5.364000,-8.755096,0.032000
200,ToSeat,5.369625,-8.723595,0.032000
201,ToSeat,5.375249,-8.692093,0.032000
202,ToSeat,5.378237,-8.660252,0.031981
203,ToSeat,5.380763,-8.628351,0.032000
204,ToSeat,5.383290,-8.596451,0.032000
205,ToSeat,5.385817,-8.564550,0.032000
206,ToSeat,5.387863,-8.532622,0.031994
207,ToSeat,5.389005,-8.500643,0.032000
208,ToSeat,5.390147,-8.468663,0.032000
209,ToSeat,5.391289,-8.436684,0.032000
210,ToSeat,5.392431,-8.404704,0.032000
211,ToSeat,5.393573,-8.372725,0.032000
212,ToSeat,5.394715,-8.340745,0.032000
213,ToSeat,5.395857,-8.308765,0.032000
214,ToSeat,5.396999,-8.276786,0.032000
215,ToSeat,5.398141,-8.244806,0.032000
216,ToSeat,5.399283,-8.212827,0.032000
217,ToSeat,5.400425,-8.180847,0.032000
218,ToSeat,5.401567,-8.148868,0.032000
219,ToSeat,5.402709,-8.116888,0.032000
220,ToSeat,5.403851,-8.084908,0.032000
221,ToSeat,5.404993,-8.052929,0.032000
222,ToSeat,5.406135,-8.020949,0.032000
223,ToSeat,5.407277,-7.988970,0.032000
224,ToSeat,5.408419,-7.956990,0.032000
225,ToSeat,5.409561,-7.925011,0.032000
226,ToSeat,5.410703,-7.893031,0.032000
227,ToSeat,5.411845,-7.861052,0.032000
228,ToSeat,5.412987,-7.829072,0.032000
229,ToSeat,5.414129,-7.797092,0.032000
230,ToSeat,5.415271,-7.765113,0.032000
231,ToSeat,5.416413,-7.733133,0.032000
232,ToSeat,5.417555,-7.701154,0.032000
233,ToSeat,5.418697,-7.669174,0.032000
234,ToSeat,5.419839,-7.637195,0.032000
235,ToSeat,5.420981,-7.605215,0.032000
236,ToSeat,5.422123,-7.573236,0.032000
237,ToSeat,5.423265,-7.541256,0.032000
238,ToSeat,5.424407,-7.509276,0.032000
239,ToSeat,5.425550,-7.477297,0.032000
240,ToSeat,5.426692,-7.445317,0.032000
241,ToSeat,5.427834,-7.413338,0.032000
242,ToSeat,5.428976,-7.381358,0.032000
243,ToSeat,5.430118,-7.349379,0.032000
244,ToSeat,5.431260,-7.317399,0.032000
245,ToSeat,5.432402,-7.285419,0.032000
246,ToSeat,5.433544,-7.253440,0.032000
247,ToSeat,5.434686,-7.221460,0.032000
248,ToSeat,5.435828,-7.189481,0.032000
249,ToSeat,5.436970,-7.157501,0.032000
250,ToSeat,5.438112,-7.125522,0.032000
251,ToSeat,5.439254,-7.093542,0.032000
252,ToSeat,5.440396,-7.061563,0.032000
253,ToSeat,5.441538,-7.029583,0.032000
254,ToSeat,5.442680,-6.997603,0.032000
255,ToSeat,5.443822,-6.965624,0.032000
256,ToSeat,5.444964,-6.933644,0.032000
257,ToSeat,5.446106,-6.901665,0.032000
258,ToSeat,5.447248,-6.869685,0.032000
259,ToSeat,5.448390,-6.837706,0.032000
260,ToSeat,5.449532,-6.805726,0.032000
261,ToSeat,5.450674,-6.773746,0.032000
262,ToSeat,5.451816,-6.741767,0.032000
263,ToSeat,5.452958,-6.709787,0.032000
264,ToSeat,5.454100,-6.677808,0.032000
265,ToSeat,5.455242,-6.645828,0.032000
266,ToSeat,5.456384,-6.613849,0.032000
267,ToSeat,5.457526,-6.581869,0.032000
268,ToSeat,5.458668,-6.549890,0.032000
269,ToSeat,5.459810,-6.517910,0.032000
270,ToSeat,5.460952,-6.485930,0.032000
271,ToSeat,5.462094,-6.453951,0.032000
272,ToSeat,5.463236,-6.421971,0.032000
273,ToSeat,5.464378,-6.389992,0.032000
274,ToSeat,5.464717,-6.358000,0.031994
275,ToSeat,5.461198,-6.326238,0.031956
276,ToSeat,5.453084,-6.295331,0.031955
277,ToSeat,5.438955,-6.266679,0.031946
278,ToSeat,5.419530,-6.241365,0.031908
279,ToSeat,5.395711,-6.220082,0.031942
280,ToSeat,5.368427,-6.203431,0.031964
281,ToSeat,5.339275,-6.190298,0.031974
282,ToSeat,5.309336,-6.178999,0.032000
283,ToSeat,5.279397,-6.167701,0.032000
284,ToSeat,5.249457,-6.156403,0.032000
285,ToSeat,5.219518,-6.145104,0.032000
286,ToSeat,5.189579,-6.133806,0.032000
287,ToSeat,5.159640,-6.122508,0.032000
288,ToSeat,5.129701,-6.111209,0.032000
289,Seating,5.099966,-6.099748,0.031867
290,Seating,5.095642,-6.068042,0.032000
291,Seating,5.091319,-6.036335,0.032000
292,Seating,5.086995,-6.004629,0.032000
293,Seating,5.082672,-5.972923,0.032000
294,Seating,5.078348,-5.941216,0.032000
295,Seating,5.074025,-5.909510,0.032000
296,Seating,5.069701,-5.877804,0.032000
297,Seating,5.065378,-5.846097,0.032000
298,Seating,5.061054,-5.814391,0.032000
299,Seating,5.056731,-5.782685,0.032000
300,Seating,5.052407,-5.750978,0.032000
301,Seating,5.048084,-5.719272,0.032000
302,Seating,5.043760,-5.687566,0.032000
303,Seating,5.039437,-5.655859,0.032000
304,Seating,5.035113,-5.624153,0.032000
305,Seating,5.030790,-5.592447,0.032000
306,Seating,5.026466,-5.560740,0.032000
307,Seating,5.022142,-5.529034,0.032000
308,Seating,5.017819,-5.497328,0.032000
309,Seating,5.013495,-5.465621,0.032000
310,Seating,5.009171,-5.433915,0.032000
311,Seating,5.004848,-5.402209,0.032000
312,Seating,5.000524,-5.370502,0.032000
313,Seating,4.996200,-5.338796,0.032000
314,Seating,4.991877,-5.307090,0.032000
315,Seating,4.987553,-5.275383,0.032000
316,Seating,4.983229,-5.243677,0.032000
317,Seating,4.978906,-5.211971,0.032000
318,Seating,4.974582,-5.180264,0.032000
319,Seating,4.970258,-5.148558,0.032000
320,Seating,4.965934,-5.116852,0.032000
321,Seating,4.961611,-5.085145,0.032000
322,Seating,4.957287,-5.053439,0.032000
323,Seating,4.952963,-5.021733,0.032000
324,Eating,4.950000,-5.000000,0.021934
325,Eating,4.950000,-5.000000,0.000000
326,Eating,4.950000,-5.000000,0.000000
327,Eating,4.950000,-5.000000,0.000000
328,Eating,4.950000,-5.000000,0.000000
329,Eating,4.950000,-5.000000,0.000000
330,Eating,4.950000,-5.000000,0.000000
331,Eating,4.950000,-5.000000,0.000000
